Molecule_ChEMBL_ID,Molecule_Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard_Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Potential Duplicate,Assay ChEMBL ID,BAO Label,Assay Cell Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Cell ChEMBL ID,Assay Description,Strains,pIC50,potency_label,Representative_pIC50,Flag resistance,Flag Groups,potency_bin,mol_freq,strain_freq,scaffold,umap_cluster
CHEMBL4105508,,,410.36,1.0,-0.56,16,CC(=O)NC[C@H]1O[C@@H](n2cnc3c(N)nc(F)nc32)[C@H](OC(C)=O)[C@@H]1OC(C)=O,IC50,'=',37000.0,nM,4.43,,,UO_0000065,0,CHEMBL3999952,assay format,,CHEMBL3997846,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against chloroquine resistant Plasmodium falciparum K1 erythrocytic stage assessed as reduction in [3H]hypoxanthine incorporation after 48 hrs by liquid scintillation counting assay,K1,4.43,inactive,4.43,chloroquine resistant,CQR,≤5,1,5948,c1ncc2ncn(C3CCCO3)c2n1,79
CHEMBL178039,,,348.44,0.0,3.34,5e (c4 beta),CO[C@H]1O[C@@]2(C)OOC13CCCC[C@@H]3C[C@@H]2Cc1ccc(CO)cc1,IC50,'=',600.0,nM,6.22,,,UO_0000065,0,CHEMBL760657,organism-based format,,CHEMBL1131600,1,Scientific Literature,J Med Chem,,In vitro antimalarial activity against chloroquine-sensitive Plasmodium falciparum NF54,NF54,6.22,active,6.22,chloroquine sensitive,CQS,6-7,1,4725,c1ccc(CC2CC3CCCCC34COC2OO4)cc1,322
CHEMBL76,CHLOROQUINE,4.0,319.88,0.0,4.81,chloroquine,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,IC50,'=',4.8,nM,8.32,,,UO_0000065,0,CHEMBL762985,organism-based format,,CHEMBL1127825,1,Scientific Literature,J Med Chem,,Inhibitory concentration against Plasmodium falciparum D6 infected erythrocytes,D6,8.32,high_potency,7.696122,,,≥7,1556,2297,c1ccc2ncccc2c1,35
CHEMBL169913,,,297.49,1.0,5.58,8,[C-]#[N+][C@@]1(C)CC[C@H]2[C@H]3[C@H]4[C@H](CC[C@@H]31)[C@H](C)C(C)=C[C@@H]4C[C@@H]2C,IC50,'=',210.09,nM,6.68,,,UO_0000065,0,CHEMBL761306,organism-based format,,CHEMBL1134369,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against Plasmodium falciparum D6,D6,6.68,active,6.68,,,6-7,2,2297,C1=CC2CCC3CCCC4CCC(C1)C2C34,285
CHEMBL3038039,,,440.46,1.0,5.27,12b,C[C@@H]1CC[C@H]2C(COCc3ccccc3)=C(C(F)(F)F)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@]32OO4,IC50,'=',20.0,nM,7.7,,,UO_0000065,0,CHEMBL762021,organism-based format,,CHEMBL1149097,1,Scientific Literature,J Med Chem,,In vitro inhibitory concentration against chloroquine-resistant Plasmodium falciparum W2,W2,7.7,high_potency,7.7,chloroquine resistant,CQR,≥7,1,5923,C1=C(COCc2ccccc2)C2CCCC3CCC4OOC32C(O1)O4,4
CHEMBL169156,,,340.51,1.0,5.12,7,[C-]#[N+][C@@]1(C)CC[C@H]2[C@H]3[C@@H]4[C@H](C[C@@H](C)[C@@](C)(N=C=O)[C@H]4CC[C@@H]31)C[C@@H]2C,IC50,'=',9.4,nM,8.03,,,UO_0000065,0,CHEMBL761306,organism-based format,,CHEMBL1134369,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against Plasmodium falciparum D6,D6,8.03,high_potency,8.03,,,≥7,2,2297,C1CC2CCC3CCCC4CCC(C1)C2C34,285
CHEMBL153656,,,554.65,2.0,7.76,6b,CCCOc1ccc(/C=C/C(=O)Nc2ccc(NC(=O)c3cccc4ccccc34)c(C(=O)c3ccccc3)c2)cc1,IC50,'=',3400.0,nM,5.47,,,UO_0000065,0,CHEMBL760065,organism-based format,,CHEMBL1135059,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against Plasmodium falciparum Dd2 in erythrocytes,Dd2,5.47,inactive,5.47,,,5-6,2,3864,O=C(C=Cc1ccccc1)Nc1ccc(NC(=O)c2cccc3ccccc23)c(C(=O)c2ccccc2)c1,158
CHEMBL3349861,,,522.48,2.0,6.44,28,C[C@@H]1CC[C@H]2[C@H](CCCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,IC50,'=',8.2,nM,8.09,,,UO_0000065,0,CHEMBL761311,organism-based format,,CHEMBL1145996,1,Scientific Literature,J Med Chem,,In vitro antimalarial activity against chloroquine-resistant Plasmodium falciparum W2 Indochina,W2,8.09,high_potency,8.09,chloroquine resistant,CQR,≥7,2,5923,O=C1OC2OC3CCC4CCCC(C1CCCc1ccccc1)C42OO3,-1
CHEMBL347996,,,548.64,2.0,6.55,6d,CCCOc1ccc(/C=C/C(=O)Nc2ccc(NC(=O)Cc3ccc(OC)cc3)c(C(=O)c3ccccc3)c2)cc1,IC50,'=',1300.0,nM,5.89,,,UO_0000065,0,CHEMBL760065,organism-based format,,CHEMBL1135059,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against Plasmodium falciparum Dd2 in erythrocytes,Dd2,5.89,inactive,5.89,,,5-6,2,3864,O=C(C=Cc1ccccc1)Nc1ccc(NC(=O)Cc2ccccc2)c(C(=O)c2ccccc2)c1,158
CHEMBL5002194,,,438.5,0.0,3.96,1660049,O=C(c1cc(-c2ccco2)n[nH]1)N1CCC(N2CCC(Oc3ccccc3F)CC2)CC1,IC50,'=',2820.0,nM,5.55,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.55,inactive,5.645,,,5-6,3,4725,O=C(c1cc(-c2ccco2)n[nH]1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,359
CHEMBL4891733,,,370.5,0.0,4.74,1664938,Cc1cccc(CN2CCC[C@H](C(=O)c3ccc4c5c(cccc35)CC4)C2)n1,IC50,'=',1660.0,nM,5.78,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.78,inactive,5.516667,,,5-6,4,4725,O=C(c1ccc2c3c(cccc13)CC2)C1CCCN(Cc2ccccn2)C1,307
CHEMBL4983337,,,359.48,0.0,3.57,1668301,CN(Cc1ccc(-c2ccccc2)cc1)c1cc([C@H]2C[C@@H](N)C2)nc(N)n1,IC50,'=',2190.0,nM,5.66,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.66,inactive,5.48,,,5-6,4,4725,c1ccc(-c2ccc(CNc3cc(C4CCC4)ncn3)cc2)cc1,107
CHEMBL4931526,,,326.43,0.0,3.32,1672137,Cc1nnc(NC(c2cnc3ccccc3c2)[C@H]2C[C@@H](O)C2)s1,IC50,'=',4070.0,nM,5.39,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.39,inactive,5.595,,,5-6,2,4725,c1ccc2ncc(C(Nc3nncs3)C3CCC3)cc2c1,458
CHEMBL4943669,,,267.3,0.0,1.77,1675827,COc1nc(N2[C@@H]3CC[C@H]2C[C@@H](OC)C3)ncc1F,IC50,'=',4070.0,nM,5.39,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.39,inactive,5.3,,,5-6,2,4725,c1cnc(N2C3CCCC2CC3)nc1,-1
CHEMBL4900981,,,287.34,0.0,3.99,1679596,C[n+]1ccc(-c2ncc(-c3ccccc3)o2)c2ccccc21,IC50,'=',758.6,nM,6.12,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,6.12,active,5.726667,,,6-7,4,4725,c1ccc(-c2cnc(-c3cc[nH+]c4ccccc34)o2)cc1,-1
CHEMBL5002163,,,380.58,0.0,4.62,1681455,COc1ccc(CNCCC2C(C)CN(C)C(C)C2Cc2ccccc2)cc1,IC50,'=',1660.0,nM,5.78,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.78,inactive,5.536667,,,5-6,4,4725,c1ccc(CNCCC2CCNCC2Cc2ccccc2)cc1,-1
CHEMBL4946013,,,411.5,1.0,5.39,1686966,COc1ccc([C@H](NC(=O)CCc2ccccc2)c2c(O)ccc3ccccc23)cc1,IC50,'=',2450.0,nM,5.61,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.61,inactive,5.49,,,5-6,4,4725,O=C(CCc1ccccc1)NC(c1ccccc1)c1cccc2ccccc12,468
CHEMBL4958652,,,339.48,0.0,2.76,1691836,CN1CCC(N2CCN(Cc3ccc4cc(O)ccc4c3)CC2)CC1,IC50,'=',1660.0,nM,5.78,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.78,inactive,5.61,,,5-6,4,4725,c1ccc2cc(CN3CCN(C4CCNCC4)CC3)ccc2c1,233
CHEMBL4970740,,,308.34,0.0,3.19,1695216,CNc1nc(Nc2ccc3c(c2)OCCO3)nc2ccccc12,IC50,'=',851.1,nM,6.07,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,6.07,active,5.906667,,,6-7,4,4725,c1ccc2nc(Nc3ccc4c(c3)OCCO4)ncc2c1,-1
